Row	loc_75	loc_76	loc_77	loc_78	loc_82	loc_83	loc_84	loc_87	loc_88	loc_89	loc_90	loc_91	loc_92	loc_93	loc_94	loc_95	loc_96	loc_97	loc_98	loc_99	loc_100	loc_101	loc_102	loc_103	loc_104	loc_105	loc_106	loc_107	loc_108	loc_109	loc_110	loc_111	loc_112	loc_113	loc_114	loc_115	loc_116	loc_117	loc_118	loc_119	loc_120	loc_122	loc_123	loc_124	loc_131	loc_132	loc_133	loc_134	loc_135	loc_136	loc_137	loc_138	loc_139	loc_140	loc_141	loc_142	loc_143	loc_225	loc_226	loc_227	loc_228	loc_234	loc_239	loc_240	loc_242	loc_243	loc_245	loc_251	loc_255	loc_256
loc_90	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	1.131185284	1.112893452	1.246626564	1.14803932	0.093549537	0.093549537	0.093549537	1.14803932	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	1.14803932	0.235053229	0.002261272	0.002261272	0.235053229	0.394581633	0.235053229	0.433797002	1.112893452	0.551442355	0.590657461	0.235053229	0.235053229	1.112893452	0.473012164	4.88E-12	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_91	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	1.131185284	1.112893452	1.14803932	1.264823126	0.093549537	0.093549537	0.093549537	1.218096023	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	1.218096023	0.235053229	0.002261272	0.002261272	0.235053229	0.394581633	0.235053229	0.433797002	1.112893452	0.551442355	0.590657461	0.235053229	0.235053229	1.112893452	0.473012164	4.88E-12	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_92	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	1.152523992	1.137627659	0.160831927	0.093549537	0.717826026	0.160831927	0.002261272	0.002261272	0.717826026	0.121616708	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.160831927	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	4.88E-12	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_93	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	1.137627659	1.142297266	0.160831927	0.093549537	0.717826026	0.160831927	0.002261272	0.002261272	0.717826026	0.121616708	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.160831927	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	4.88E-12	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_94	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.160831927	0.160831927	1.283609899	0.093549537	0.160831927	0.92846339	0.002261272	0.002261272	0.160831927	0.121616708	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.803505622	0.002261272	0.002261272	0.002261272	0.002261272	0.803505622	0.803505622	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	4.88E-12	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_95	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	1.131185284	1.112893452	1.14803932	1.218096023	0.093549537	0.093549537	0.093549537	1.246002726	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	1.240301301	0.235053229	0.002261272	0.002261272	0.235053229	0.394581633	0.235053229	0.433797002	1.112893452	0.551442355	0.590657461	0.235053229	0.235053229	1.112893452	0.473012164	4.88E-12	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_96	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.717826026	0.717826026	0.160831927	0.093549537	1.222504433	0.160831927	0.002261272	0.002261272	0.798400824	0.121616708	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.002261272	0.002261272	0.002261272	0.002261272	0.160831927	0.160831927	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	4.88E-12	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_97	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.160831927	0.160831927	0.92846339	0.093549537	0.160831927	1.166915593	0.002261272	0.002261272	0.160831927	0.121616708	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.803505622	0.002261272	0.002261272	0.002261272	0.002261272	0.803505622	0.803505622	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	4.88E-12	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_98	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.592912942	0.022121323	0.002261272	0.002261272	0.384980394	0.022121323	0.022121323	0.022121323	0.022121323	0.022121323	0.022121323	0.384980394	0.022121323	0.022121323	0.022121323	0.002261272	0.022121323	0.022121323	0.022121323	0.022121323	0.002261272	0.002261272	0.002261272	0.002261272	0.022121323	0.022121323	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.022121323	0.022121323	0.022121323	0.022121323	0.022121323	0.002261272	4.88E-12	4.88E-12
loc_99	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.022121323	0.992805795	0.002261272	0.002261272	0.022121323	0.287261976	0.287261976	0.287261976	0.287261976	0.287261976	0.287261976	0.022121323	0.758018446	0.308970849	0.308970849	0.002261272	0.287261976	0.287261976	0.287261976	0.287261976	0.002261272	0.002261272	0.002261272	0.002261272	0.287261976	0.287261976	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.287261976	0.287261976	0.287261976	0.287261976	0.287261976	0.002261272	4.88E-12	4.88E-12
